trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,header.started,plus.started,minus.started,win_lose.started,polygon_red.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,red.response,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.346662600000855,5.346662600000855,5.346662600000855,5.346662600000855,5.346662600000855,1,[0.5498766000018804],[0.5498800999994273],0,,,None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
1,0,1,0,5.9164994999991904,5.9164994999991904,5.9164994999991904,5.9164994999991904,5.9164994999991904,2,"[0.5498766000018804, 0.31401349999941885]","[0.000143599998409627, 0.31401700000060373]",0,,,None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
2,0,2,0,6.248383499998454,6.248383499998454,6.248383499998454,6.248383499998454,6.248383499998454,3,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876]","[0.000143599998409627, 0.00012140000035287812, 0.15776419999747304]",0,,,None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
3,0,3,0,6.406356700001197,6.406356700001197,6.406356700001197,6.406356700001197,6.406356700001197,4,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.18973790000018198]",0,,,None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
4,0,4,0,6.627095299998473,6.627095299998473,6.627095299998473,6.627095299998473,6.627095299998473,5,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.12597290000121575]",0,,,None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
5,0,5,0,6.768879300001572,6.768879300001572,6.768879300001572,6.768879300001572,6.768879300001572,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.15794699999969453]",0,,,None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
6,0,6,0,6.927909199999704,6.927909199999704,6.927909199999704,6.927909199999704,6.927909199999704,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",1,[0.33369630000015604],[0.33370039999863366],None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
7,0,7,0,7.276976799999829,7.276976799999829,7.276976799999829,7.276976799999829,7.276976799999829,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",2,"[0.33369630000015604, 0.18984459999774117]","[0.06324069999755011, 0.18984849999833386]",None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
8,0,8,0,7.497461999999359,7.497461999999359,7.497461999999359,7.497461999999359,7.497461999999359,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",3,"[0.33369630000015604, 0.18984459999774117, 0.20748900000035064]","[0.06324069999755011, 0.04854899999918416, 0.20749269999942044]",None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
9,0,9,0,7.719196499998361,7.719196499998361,7.719196499998361,7.719196499998361,7.719196499998361,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",4,"[0.33369630000015604, 0.18984459999774117, 0.20748900000035064, 0.1585823999994318]","[0.06324069999755011, 0.04854899999918416, 0.04764499999873806, 0.15858619999926304]",None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
10,0,10,0,7.876983099999052,7.876983099999052,7.876983099999052,7.876983099999052,7.876983099999052,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",5,"[0.33369630000015604, 0.18984459999774117, 0.20748900000035064, 0.1585823999994318, 0.19040400000085356]","[0.06324069999755011, 0.04854899999918416, 0.04764499999873806, 0.06241769999905955, 0.1904080000022077]",None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
11,0,11,0,8.098283499999525,8.098283499999525,8.098283499999525,8.098283499999525,8.098283499999525,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",6,"[0.33369630000015604, 0.18984459999774117, 0.20748900000035064, 0.1585823999994318, 0.19040400000085356, 0.20557059999919147]","[0.06324069999755011, 0.04854899999918416, 0.04764499999873806, 0.06241769999905955, 0.07940880000023753, 0.20557429999826127]",None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
12,0,12,0,8.320621899998514,8.320621899998514,8.320621899998514,8.320621899998514,8.320621899998514,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",7,"[0.33369630000015604, 0.18984459999774117, 0.20748900000035064, 0.1585823999994318, 0.19040400000085356, 0.20557059999919147, 0.16056380000009085]","[0.06324069999755011, 0.04854899999918416, 0.04764499999873806, 0.06241769999905955, 0.07940880000023753, 0.04951710000023013, 0.1605675999999221]",None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
13,0,13,0,8.494016500000726,8.494016500000726,8.494016500000726,8.494016500000726,8.494016500000726,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",8,"[0.33369630000015604, 0.18984459999774117, 0.20748900000035064, 0.1585823999994318, 0.19040400000085356, 0.20557059999919147, 0.16056380000009085, 0.15780649999942398]","[0.06324069999755011, 0.04854899999918416, 0.04764499999873806, 0.06241769999905955, 0.07940880000023753, 0.04951710000023013, 0.046510699998179916, 0.15781050000077812]",None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
14,0,14,0,8.66819459999897,8.66819459999897,8.66819459999897,8.66819459999897,8.66819459999897,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",9,"[0.33369630000015604, 0.18984459999774117, 0.20748900000035064, 0.1585823999994318, 0.19040400000085356, 0.20557059999919147, 0.16056380000009085, 0.15780649999942398, 0.15675030000056722]","[0.06324069999755011, 0.04854899999918416, 0.04764499999873806, 0.06241769999905955, 0.07940880000023753, 0.04951710000023013, 0.046510699998179916, 0.046563700001570396, 0.15675430000192137]",None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
15,0,15,0,8.826221100000112,8.826221100000112,8.826221100000112,8.826221100000112,8.826221100000112,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",10,"[0.33369630000015604, 0.18984459999774117, 0.20748900000035064, 0.1585823999994318, 0.19040400000085356, 0.20557059999919147, 0.16056380000009085, 0.15780649999942398, 0.15675030000056722, 0.9982507999993686]","[0.06324069999755011, 0.04854899999918416, 0.04764499999873806, 0.06241769999905955, 0.07940880000023753, 0.04951710000023013, 0.046510699998179916, 0.046563700001570396, 0.0639405000001716, 0.9982546999999613]",None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
16,0,16,0,9.839016699999775,9.839016699999775,9.839016699999775,9.839016699999775,9.839016699999775,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",11,"[0.33369630000015604, 0.18984459999774117, 0.20748900000035064, 0.1585823999994318, 0.19040400000085356, 0.20557059999919147, 0.16056380000009085, 0.15780649999942398, 0.15675030000056722, 0.9982507999993686, 0.2207245999998122]","[0.06324069999755011, 0.04854899999918416, 0.04764499999873806, 0.06241769999905955, 0.07940880000023753, 0.04951710000023013, 0.046510699998179916, 0.046563700001570396, 0.0639405000001716, 0.031897200002276804, 0.2207285000004049]",None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
17,0,17,0,10.076596599999903,10.076596599999903,10.076596599999903,10.076596599999903,10.076596599999903,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",12,"[0.33369630000015604, 0.18984459999774117, 0.20748900000035064, 0.1585823999994318, 0.19040400000085356, 0.20557059999919147, 0.16056380000009085, 0.15780649999942398, 0.15675030000056722, 0.9982507999993686, 0.2207245999998122, 0.3350654999994731]","[0.06324069999755011, 0.04854899999918416, 0.04764499999873806, 0.06241769999905955, 0.07940880000023753, 0.04951710000023013, 0.046510699998179916, 0.046563700001570396, 0.0639405000001716, 0.031897200002276804, 0.06600690000050236, 0.3350695999979507]",None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
18,0,18,0,10.440370100001019,10.440370100001019,10.440370100001019,10.440370100001019,10.440370100001019,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",13,"[0.33369630000015604, 0.18984459999774117, 0.20748900000035064, 0.1585823999994318, 0.19040400000085356, 0.20557059999919147, 0.16056380000009085, 0.15780649999942398, 0.15675030000056722, 0.9982507999993686, 0.2207245999998122, 0.3350654999994731, 0.1918522000014491]","[0.06324069999755011, 0.04854899999918416, 0.04764499999873806, 0.06241769999905955, 0.07940880000023753, 0.04951710000023013, 0.046510699998179916, 0.046563700001570396, 0.0639405000001716, 0.031897200002276804, 0.06600690000050236, 0.04771429999891552, 0.1918562999999267]",None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
19,0,19,0,10.646733900000982,10.646733900000982,10.646733900000982,10.646733900000982,10.646733900000982,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",14,"[0.33369630000015604, 0.18984459999774117, 0.20748900000035064, 0.1585823999994318, 0.19040400000085356, 0.20557059999919147, 0.16056380000009085, 0.15780649999942398, 0.15675030000056722, 0.9982507999993686, 0.2207245999998122, 0.3350654999994731, 0.1918522000014491, 0.15694040000016685]","[0.06324069999755011, 0.04854899999918416, 0.04764499999873806, 0.06241769999905955, 0.07940880000023753, 0.04951710000023013, 0.046510699998179916, 0.046563700001570396, 0.0639405000001716, 0.031897200002276804, 0.06600690000050236, 0.04771429999891552, 0.04715310000028694, 0.15694430000075954]",None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
20,0,20,0,10.804470899998705,10.804470899998705,10.804470899998705,10.804470899998705,10.804470899998705,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",15,"[0.33369630000015604, 0.18984459999774117, 0.20748900000035064, 0.1585823999994318, 0.19040400000085356, 0.20557059999919147, 0.16056380000009085, 0.15780649999942398, 0.15675030000056722, 0.9982507999993686, 0.2207245999998122, 0.3350654999994731, 0.1918522000014491, 0.15694040000016685, 0.17619330000161426]","[0.06324069999755011, 0.04854899999918416, 0.04764499999873806, 0.06241769999905955, 0.07940880000023753, 0.04951710000023013, 0.046510699998179916, 0.046563700001570396, 0.0639405000001716, 0.031897200002276804, 0.06600690000050236, 0.04771429999891552, 0.04715310000028694, 0.06524999999965075, 0.1761971000014455]",None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
,,,,11.011323599999741,11.011323599999741,11.011323599999741,11.011323599999741,11.011323599999741,,,,,,,,,,,,,,,
